PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr              Process
19281    134608  1337346     579944      7fff42d87eb0/0             icam
19284    548472  12582912    1253956     7fff68619590/0             grpc
19285    136176  1104048     564932      7fffc4f93c80/0             eth_port_channel
19286    135496  0           641960      7ffd5d0a7c40/0             eltm
19287    111984  1125885     521104      7fff029b4720/0             ecp
19288       308  12582912    4036        7ffed73ac5f0/0             dcgrpc
19289       308  12582912    4036        7ffee54ead50/0             dc_nae
19291       308  12582912    4036        7ffe9024f910/0             cnmi
19292       308  12582912    4036        7fff93b95de0/0             cfg_cmp
19293    119112  1001229     463932      7ffd8b3a7220/0             adbm
19316    121068  905069      550688      7ffd5e926b00/0             tacacs
19328    107824  0           451788      7ffdd31bf1d0/0             ntpd
19336    107932  815743      452276      7ffda5f09fb0/0             eth_dstats
19337    138916  1017201     608908      7ffcfb1938b0/0             ipqosmgr
19338    131432  1154943     559140      7ffd79389700/0             lacp
19396    172920  1473042     658348      7ffe28c55830/0             vlan_mgr
19403    217920  859972      576532      7fffbeb589a0/0             aclqos
19414    268780  1120171     626104      7ffd6c251610/0             diag_port_lb
19416    174428  1107967     713844      7ffd483c3e90/0             ethpm
19418    180328  0           811252      7ffdb6ffb730/0             l2fm
19531    128180  1414544     559212      7fff46ad6390/0             stp
19532    112560  884960      536392      7ffd0fa28ba0/0             stripcl
19533    135052  852834      570420      7ffea8b67da0/0             udld
19788    113596  0           681836      7fffe5cb3280/0             vsh.bin
19836    117216  1023436     556308      7ffec0b04b30/0             copp
19838    147712  0           2227268     7ffe0ba60680/0             vpc
19839    143884  1083425     745008      7ffc097e8ef0/0             ufdm
19840    108524  798940      454416      7ffee0e3e4a0/0             u2
19841    496788  16845824    2947564     7fff8f9f1c70/0             telemetry
19843    126424  5316567     2068520     7ffd0e491b70/0             sal
19844    113820  5301511     2183356     7ffc587c0650/0             ofm
19845    272816  20106248    4094604     7fffe77f4b40/0             mrib
19846    212052  12582912    731284      7ffe5c288c80/0             mfdm
19847    108272  796898      454980      7fff6d421240/0             mcm
19848    262516  9110375     4058644     7fff96610c90/0             m6rib
19849    112300  1057285     540608      7ffd38f7c1b0/0             l2pt
19850    141464  0           2283408     7ffc6c9561b0/0             hsrp_engine
19853    242764  16974848    4136364     7ffe7bfec920/0             bgp
19854    116720  5340155     2264684     7ffc178bf100/0             bfd
19876    137080  1410271     566868      7ffc0b928bb0/0             interface-vlan
19947    130660  1272745     475344      7fff34c39a10/0             m2rib
20169    159648  0           624000      7ffdfe17cc60/0             nxpython3
20173      3456  0           35380       7ffde488dde0/0             nginx_1_fe
20177      4664  0           36604       7ffde488dde0/0             nginx_1_fe
20207       960  0           12816       7ffd3a0c3270/0             tamd_proc
20533    157140  0           553844      7ffdfe17cc60/0             nxpython3
20534    157140  0           553844      7ffdfe17cc60/0             nxpython3
20535    157140  0           553844      7ffdfe17cc60/0             nxpython3
21429       436  0           4124        7ffd2b0b1ba0/0             bash_ct
24023     47848  12582912    1253104     7ffc68cc6f60/0             nxos_dc
27541    247992  1249488     753448      7ffe8fa313d0/0             cts
27602    108188  0           453932      7ffc2e58df30/0             dcos_sshd
27644    108188  0           453932      7ffc2e58df30/0             dcos_sshd
27661   2105376  5315314     4126512     7fffcf800800/0             acllog
27681    120164  0           753808      7ffc00d48350/0             vsh.bin
29132      7868  0           15088       7ffd0bac5c50/0             python3
29156    242588  5626975     2479752     7ffc8272dff0/0             nfm
31647       252  0           2764        7ffe56399b70/0             getty
32181    113616  0           681860      7fff37896a70/0             vsh.bin
